Thu Jul 30 21:32:43 EDT 2015, 3235
Thu Jul 30 21:33:05 EDT 2015, 3306
Thu Jul 30 21:34:55 EDT 2015, 3602
Thu Jul 30 22:05:00 EDT 2015, 3523
Fri Jul 31 16:55:00 EDT 2015, 1798
Fri Jul 31 17:00:00 EDT 2015, 1801
Fri Jul 31 18:35:02 EDT 2015, 1747
Fri Jul 31 18:40:00 EDT 2015, 1805
Fri Jul 31 18:45:00 EDT 2015, 1800
Fri Jul 31 18:50:01 EDT 2015, 1799
Fri Jul 31 18:55:00 EDT 2015, 1898
Fri Jul 31 19:00:01 EDT 2015, 3850
Fri Jul 31 19:05:00 EDT 2015, 3415
Fri Jul 31 21:10:00 EDT 2015, 1802
Fri Jul 31 21:15:00 EDT 2015, 1803
Fri Jul 31 21:50:00 EDT 2015, 1806
Fri Jul 31 21:55:00 EDT 2015, 2005
Fri Jul 31 22:00:00 EDT 2015, 3567
Fri Jul 31 22:05:00 EDT 2015, 4215
Fri Jul 31 22:10:00 EDT 2015, 4058
Fri Jul 31 22:15:00 EDT 2015, 4051
Fri Jul 31 22:20:00 EDT 2015, 4126
Fri Jul 31 22:25:00 EDT 2015, 4348
Fri Jul 31 22:30:00 EDT 2015, 1795
Fri Jul 31 22:35:00 EDT 2015, 4847
Fri Jul 31 22:40:00 EDT 2015, 4516
Fri Jul 31 22:45:01 EDT 2015, 3952
Fri Jul 31 22:50:00 EDT 2015, 4458
Fri Jul 31 22:55:00 EDT 2015, 4074
Fri Jul 31 23:00:00 EDT 2015, 4144
Fri Jul 31 23:05:00 EDT 2015, 6200
Fri Jul 31 23:10:00 EDT 2015, 6168
Fri Jul 31 23:15:00 EDT 2015, 4121
Fri Jul 31 23:20:00 EDT 2015, 4950
Fri Jul 31 23:25:00 EDT 2015, 4187
Fri Jul 31 23:30:00 EDT 2015, 4992
Fri Jul 31 23:35:00 EDT 2015, 4377
Fri Jul 31 23:40:00 EDT 2015, 3735
Fri Jul 31 23:45:00 EDT 2015, 5165
Fri Jul 31 23:50:00 EDT 2015, 4370
Fri Jul 31 23:55:00 EDT 2015, 4488
Sat Aug  1 15:05:00 EDT 2015, 1807
Sat Aug  1 15:10:00 EDT 2015, 1877
Sat Aug  1 15:15:00 EDT 2015, 2967
Sat Aug  1 15:20:00 EDT 2015, 2265
Sat Aug  1 15:25:00 EDT 2015, 5188
Sat Aug  1 15:30:00 EDT 2015, 5237
Sat Aug  1 15:35:00 EDT 2015, 1800
Sat Aug  1 15:40:00 EDT 2015, 4540
Sat Aug  1 19:35:01 EDT 2015, 1800
Sat Aug  1 19:43:52 EDT 2015, 1800
Sat Aug  1 19:45:00 EDT 2015, 1794
Sat Aug  1 19:52:09 EDT 2015, 1985
Sat Aug  1 19:55:00 EDT 2015, 1797
Sat Aug  1 20:05:39 EDT 2015, 1997
Sat Aug  1 20:18:43 EDT 2015, 1801
Sat Aug  1 20:20:00 EDT 2015, 1790
Sat Aug  1 20:25:00 EDT 2015, 1806
Sat Aug  1 20:36:40 EDT 2015, 1798
Sat Aug  1 20:40:00 EDT 2015, 1798
Sat Aug  1 20:45:00 EDT 2015, 2356
Sat Aug  1 20:50:00 EDT 2015, 3708
Sat Aug  1 20:55:00 EDT 2015, 3794
Sat Aug  1 21:00:00 EDT 2015, 3034
Sat Aug  1 21:05:00 EDT 2015, 5197
Sat Aug  1 21:10:00 EDT 2015, 3270
Sat Aug  1 21:15:00 EDT 2015, 4575
Sat Aug  1 21:20:00 EDT 2015, 1798
Sat Aug  1 21:25:00 EDT 2015, 2526
Sat Aug  1 21:30:00 EDT 2015, 4756
Sat Aug  1 21:35:00 EDT 2015, 4086
Sat Aug  1 21:40:00 EDT 2015, 3237
Sat Aug  1 21:45:00 EDT 2015, 5706
Sat Aug  1 21:50:00 EDT 2015, 3460
Sat Aug  1 21:55:00 EDT 2015, 3700
Sat Aug  1 22:00:00 EDT 2015, 4699
Sat Aug  1 22:05:01 EDT 2015, 4544
Sat Aug  1 22:10:00 EDT 2015, 5896
Sat Aug  1 22:15:00 EDT 2015, 3445
Sat Aug  1 22:20:00 EDT 2015, 2180
Sat Aug  1 22:25:00 EDT 2015, 4766
Sat Aug  1 22:30:01 EDT 2015, 4929
Sat Aug  1 22:35:00 EDT 2015, 4137
Sat Aug  1 22:40:00 EDT 2015, 4688
Sat Aug  1 22:45:00 EDT 2015, 4586
Sat Aug  1 22:50:00 EDT 2015, 5432
Sat Aug  1 22:55:00 EDT 2015, 2322
Sat Aug  1 23:00:00 EDT 2015, 5918
Sat Aug  1 23:05:00 EDT 2015, 2591
Sat Aug  1 23:10:00 EDT 2015, 2543
Sat Aug  1 23:15:00 EDT 2015, 3942
Sat Aug  1 23:20:00 EDT 2015, 1797
Sat Aug  1 23:25:00 EDT 2015, 2284
Sat Aug  1 23:30:00 EDT 2015, 2636
Sat Aug  1 23:35:00 EDT 2015, 2596
Sat Aug  1 23:40:00 EDT 2015, 3555
Sat Aug  1 23:45:00 EDT 2015, 2832
Sat Aug  1 23:50:00 EDT 2015, 3672
Sat Aug  1 23:55:00 EDT 2015, 2518
Sun Aug  2 12:25:00 EDT 2015, 1804
Sun Aug  2 12:30:00 EDT 2015, 1798
Sun Aug  2 12:35:00 EDT 2015, 1798
Sun Aug  2 12:40:00 EDT 2015, 1805
Sun Aug  2 14:55:00 EDT 2015, 1792
Sun Aug  2 23:30:01 EDT 2015, 1800
Sun Aug  2 23:35:00 EDT 2015, 1904
Sun Aug  2 23:40:00 EDT 2015, 3329
Sun Aug  2 23:45:00 EDT 2015, 2068
Sun Aug  2 23:50:00 EDT 2015, 5699
Sun Aug  2 23:55:00 EDT 2015, 3776
Mon Aug  3 11:55:00 EDT 2015, 1808
Mon Aug  3 12:00:00 EDT 2015, 1804
Mon Aug  3 12:05:00 EDT 2015, 1803
Mon Aug  3 12:10:00 EDT 2015, 1798
Mon Aug  3 12:15:00 EDT 2015, 1790
Mon Aug  3 12:20:00 EDT 2015, 1799
Mon Aug  3 12:25:00 EDT 2015, 1808
Mon Aug  3 17:35:00 EDT 2015, 1796
Mon Aug  3 17:40:00 EDT 2015, 1796
Mon Aug  3 17:45:00 EDT 2015, 1962
Mon Aug  3 17:50:01 EDT 2015, 1874
Mon Aug  3 17:55:00 EDT 2015, 1804
Mon Aug  3 18:00:00 EDT 2015, 2718
Mon Aug  3 18:05:03 EDT 2015, 6200
Mon Aug  3 18:10:00 EDT 2015, 4549
Mon Aug  3 18:15:00 EDT 2015, 3265
Mon Aug  3 18:20:00 EDT 2015, 3233
Mon Aug  3 18:25:00 EDT 2015, 1803
Mon Aug  3 18:30:00 EDT 2015, 5040
Mon Aug  3 18:35:00 EDT 2015, 5252
Mon Aug  3 18:40:00 EDT 2015, 3884
Mon Aug  3 18:45:00 EDT 2015, 5385
Mon Aug  3 18:50:00 EDT 2015, 3125
Mon Aug  3 21:15:01 EDT 2015, 1794
Mon Aug  3 21:20:00 EDT 2015, 1803
Mon Aug  3 21:25:00 EDT 2015, 1801
Mon Aug  3 21:30:00 EDT 2015, 2372
Mon Aug  3 21:35:00 EDT 2015, 2420
Mon Aug  3 21:40:00 EDT 2015, 3066
Mon Aug  3 21:45:00 EDT 2015, 1978
Mon Aug  3 21:50:00 EDT 2015, 6192
Mon Aug  3 21:55:00 EDT 2015, 3937
Mon Aug  3 22:00:00 EDT 2015, 1879
Mon Aug  3 22:05:00 EDT 2015, 3764
Mon Aug  3 22:10:00 EDT 2015, 4281
Mon Aug  3 22:15:00 EDT 2015, 6192
Mon Aug  3 22:20:00 EDT 2015, 6225
Mon Aug  3 22:25:01 EDT 2015, 6188
Mon Aug  3 22:30:00 EDT 2015, 6188
Mon Aug  3 22:35:00 EDT 2015, 3872
Mon Aug  3 22:40:00 EDT 2015, 5008
Mon Aug  3 22:45:00 EDT 2015, 5342
Mon Aug  3 22:50:00 EDT 2015, 2887
Mon Aug  3 22:55:00 EDT 2015, 2764
Mon Aug  3 23:00:01 EDT 2015, 6188
Mon Aug  3 23:05:00 EDT 2015, 2592
Mon Aug  3 23:10:00 EDT 2015, 2426
Mon Aug  3 23:15:00 EDT 2015, 2719
Mon Aug  3 23:55:00 EDT 2015, 1794
Tue Aug  4 19:40:00 EDT 2015, 1804
Tue Aug  4 19:45:00 EDT 2015, 1798
Tue Aug  4 19:50:00 EDT 2015, 1800
Tue Aug  4 19:55:00 EDT 2015, 2041
Tue Aug  4 20:00:00 EDT 2015, 2622
Tue Aug  4 20:05:00 EDT 2015, 3184
Tue Aug  4 20:10:00 EDT 2015, 2797
Tue Aug  4 20:15:00 EDT 2015, 2973
Tue Aug  4 20:20:00 EDT 2015, 2961
Tue Aug  4 20:25:00 EDT 2015, 3023
Tue Aug  4 20:30:00 EDT 2015, 2937
Tue Aug  4 20:35:00 EDT 2015, 4872
Tue Aug  4 20:40:00 EDT 2015, 3694
Tue Aug  4 20:45:00 EDT 2015, 2172
Tue Aug  4 20:50:00 EDT 2015, 3264
Tue Aug  4 20:55:01 EDT 2015, 3018
Tue Aug  4 21:00:00 EDT 2015, 2951
Tue Aug  4 21:05:00 EDT 2015, 2950
Tue Aug  4 21:10:00 EDT 2015, 2911
Tue Aug  4 21:15:00 EDT 2015, 3054
Tue Aug  4 21:20:00 EDT 2015, 2505
Tue Aug  4 21:25:00 EDT 2015, 2982
Tue Aug  4 21:30:00 EDT 2015, 2782
Tue Aug  4 21:35:01 EDT 2015, 3124
Tue Aug  4 21:40:00 EDT 2015, 3004
Tue Aug  4 21:45:00 EDT 2015, 2832
Tue Aug  4 21:50:00 EDT 2015, 3202
Tue Aug  4 21:55:00 EDT 2015, 3119
Tue Aug  4 22:00:01 EDT 2015, 3085
Tue Aug  4 22:05:00 EDT 2015, 3250
Tue Aug  4 22:10:00 EDT 2015, 6192
Tue Aug  4 22:15:00 EDT 2015, 6176
Tue Aug  4 22:20:01 EDT 2015, 6200
Tue Aug  4 22:25:00 EDT 2015, 6208
Tue Aug  4 22:34:24 EDT 2015, 1794
Tue Aug  4 22:35:00 EDT 2015, 1800
Tue Aug  4 22:40:00 EDT 2015, 2065
Tue Aug  4 22:45:00 EDT 2015, 5237
Tue Aug  4 22:56:47 EDT 2015, 1797
Tue Aug  4 23:00:00 EDT 2015, 1925
Tue Aug  4 23:05:00 EDT 2015, 4261
Tue Aug  4 23:10:00 EDT 2015, 1810
Tue Aug  4 23:15:00 EDT 2015, 5881
Tue Aug  4 23:20:00 EDT 2015, 6180
Tue Aug  4 23:25:00 EDT 2015, 5748
Tue Aug  4 23:30:00 EDT 2015, 1799
Tue Aug  4 23:35:00 EDT 2015, 2629
